category,metric,coverage_pct
Mid Cap,top3_sector,100.0
Mid Cap,turnover,100.0
Mid Cap,up_beta,96.55172413793103
Mid Cap,volatility,96.55172413793103
Multi Cap,aum,100.0
Multi Cap,cagr_1y,92.0
Multi Cap,cagr_3y,56.00000000000001
Multi Cap,cagr_5y,24.0
Multi Cap,down_beta,48.0
Multi Cap,iqr_3y,28.000000000000004
Multi Cap,iqr_5y,24.0
Multi Cap,ir,48.0
Multi Cap,manager_experience,96.0
Multi Cap,max_dd,92.0
Multi Cap,pb,96.0
Multi Cap,pe,96.0
Multi Cap,return_3m,92.0
Multi Cap,return_6m,92.0
Multi Cap,roe,96.0
Multi Cap,rolling_3y,28.000000000000004
Multi Cap,rolling_5y,24.0
Multi Cap,sector_hhi,96.0
Multi Cap,sharpe,48.0
Multi Cap,sortino,48.0
Multi Cap,stock_count,100.0
Multi Cap,ter,100.0
Multi Cap,top10,96.0
Multi Cap,top3_sector,100.0
Multi Cap,turnover,100.0
Multi Cap,up_beta,48.0
Multi Cap,volatility,92.0
Small Cap,aum,100.0
Small Cap,cagr_1y,100.0
Small Cap,cagr_3y,79.3103448275862
Small Cap,cagr_5y,72.41379310344827
Small Cap,down_beta,75.86206896551724
Small Cap,iqr_3y,72.41379310344827
Small Cap,iqr_5y,72.41379310344827
Small Cap,ir,75.86206896551724
Small Cap,manager_experience,100.0
Small Cap,max_dd,100.0
Small Cap,pb,93.10344827586206
Small Cap,pe,93.10344827586206
Small Cap,return_3m,100.0
Small Cap,return_6m,100.0
Small Cap,roe,93.10344827586206
Small Cap,rolling_3y,72.41379310344827
Small Cap,rolling_5y,72.41379310344827
Small Cap,sector_hhi,96.55172413793103
Small Cap,sharpe,75.86206896551724
Small Cap,sortino,75.86206896551724
Small Cap,stock_count,100.0
Small Cap,ter,100.0
Small Cap,top10,96.55172413793103
Small Cap,top3_sector,100.0
Small Cap,turnover,100.0
Small Cap,up_beta,75.86206896551724
Small Cap,volatility,100.0
Value,aum,100.0
Value,cagr_1y,95.0
Value,cagr_3y,85.0
Value,cagr_5y,70.0
Value,down_beta,90.0
Value,iqr_3y,75.0
Value,iqr_5y,70.0
Value,ir,90.0
Value,manager_experience,100.0
Value,max_dd,95.0
Value,pb,90.0
Value,pe,90.0
Value,return_3m,95.0
Value,return_6m,95.0
Value,roe,90.0
Value,rolling_3y,75.0
Value,rolling_5y,70.0
Value,sector_hhi,95.0
Value,sharpe,90.0
Value,sortino,90.0
Value,stock_count,100.0
Value,ter,100.0
Value,top10,100.0
Value,top3_sector,100.0
Value,turnover,100.0
Value,up_beta,90.0
Value,volatility,95.0
