category,amc,metric,coverage_pct
ELSS,BARODA,iqr_3y,0.0
ELSS,BARODA,iqr_5y,0.0
ELSS,BARODA,ir,100.0
ELSS,BARODA,manager_experience,100.0
ELSS,BARODA,max_dd,100.0
ELSS,BARODA,pb,100.0
ELSS,BARODA,pe,100.0
ELSS,BARODA,return_3m,100.0
ELSS,BARODA,return_6m,100.0
ELSS,BARODA,roe,100.0
ELSS,BARODA,rolling_3y,0.0
ELSS,BARODA,rolling_5y,0.0
ELSS,BARODA,sector_hhi,100.0
ELSS,BARODA,sharpe,100.0
ELSS,BARODA,sortino,100.0
ELSS,BARODA,stock_count,100.0
ELSS,BARODA,ter,100.0
ELSS,BARODA,top10,100.0
ELSS,BARODA,top3_sector,100.0
ELSS,BARODA,turnover,100.0
ELSS,BARODA,up_beta,100.0
ELSS,BARODA,volatility,100.0
ELSS,BOI,aum,100.0
ELSS,BOI,cagr_1y,100.0
ELSS,BOI,cagr_3y,100.0
ELSS,BOI,cagr_5y,100.0
ELSS,BOI,down_beta,100.0
ELSS,BOI,iqr_3y,100.0
ELSS,BOI,iqr_5y,100.0
ELSS,BOI,ir,100.0
ELSS,BOI,manager_experience,100.0
ELSS,BOI,max_dd,100.0
ELSS,BOI,pb,100.0
ELSS,BOI,pe,100.0
ELSS,BOI,return_3m,100.0
ELSS,BOI,return_6m,100.0
ELSS,BOI,roe,100.0
ELSS,BOI,rolling_3y,100.0
ELSS,BOI,rolling_5y,100.0
ELSS,BOI,sector_hhi,100.0
ELSS,BOI,sharpe,100.0
ELSS,BOI,sortino,100.0
ELSS,BOI,stock_count,100.0
ELSS,BOI,ter,100.0
ELSS,BOI,top10,100.0
ELSS,BOI,top3_sector,100.0
ELSS,BOI,turnover,100.0
ELSS,BOI,up_beta,100.0
ELSS,BOI,volatility,100.0
ELSS,CANARA,aum,100.0
ELSS,CANARA,cagr_1y,100.0
ELSS,CANARA,cagr_3y,100.0
ELSS,CANARA,cagr_5y,100.0
ELSS,CANARA,down_beta,100.0
ELSS,CANARA,iqr_3y,100.0
ELSS,CANARA,iqr_5y,100.0
ELSS,CANARA,ir,100.0
ELSS,CANARA,manager_experience,100.0
ELSS,CANARA,max_dd,100.0
ELSS,CANARA,pb,100.0
ELSS,CANARA,pe,100.0
ELSS,CANARA,return_3m,100.0
ELSS,CANARA,return_6m,100.0
ELSS,CANARA,roe,100.0
ELSS,CANARA,rolling_3y,100.0
ELSS,CANARA,rolling_5y,100.0
ELSS,CANARA,sector_hhi,100.0
ELSS,CANARA,sharpe,100.0
ELSS,CANARA,sortino,100.0
ELSS,CANARA,stock_count,100.0
ELSS,CANARA,ter,100.0
ELSS,CANARA,top10,100.0
ELSS,CANARA,top3_sector,100.0
ELSS,CANARA,turnover,100.0
ELSS,CANARA,up_beta,100.0
ELSS,CANARA,volatility,100.0
ELSS,EDEL,aum,100.0
ELSS,EDEL,cagr_1y,100.0
ELSS,EDEL,cagr_3y,100.0
ELSS,EDEL,cagr_5y,100.0
ELSS,EDEL,down_beta,100.0
ELSS,EDEL,iqr_3y,100.0
ELSS,EDEL,iqr_5y,100.0
ELSS,EDEL,ir,100.0
ELSS,EDEL,manager_experience,100.0
ELSS,EDEL,max_dd,100.0
ELSS,EDEL,pb,100.0
ELSS,EDEL,pe,100.0
ELSS,EDEL,return_3m,100.0
ELSS,EDEL,return_6m,100.0
ELSS,EDEL,roe,100.0
ELSS,EDEL,rolling_3y,100.0
ELSS,EDEL,rolling_5y,100.0
ELSS,EDEL,sector_hhi,100.0
ELSS,EDEL,sharpe,100.0
ELSS,EDEL,sortino,100.0
ELSS,EDEL,stock_count,100.0
ELSS,EDEL,ter,100.0
ELSS,EDEL,top10,100.0
ELSS,EDEL,top3_sector,100.0
ELSS,EDEL,turnover,100.0
ELSS,EDEL,up_beta,100.0
ELSS,EDEL,volatility,100.0
ELSS,FT,aum,100.0
ELSS,FT,cagr_1y,100.0
ELSS,FT,cagr_3y,100.0
ELSS,FT,cagr_5y,100.0
ELSS,FT,down_beta,100.0
ELSS,FT,iqr_3y,100.0
ELSS,FT,iqr_5y,100.0
ELSS,FT,ir,100.0
ELSS,FT,manager_experience,100.0
ELSS,FT,max_dd,100.0
ELSS,FT,pb,100.0
ELSS,FT,pe,100.0
ELSS,FT,return_3m,100.0
ELSS,FT,return_6m,100.0
ELSS,FT,roe,100.0
ELSS,FT,rolling_3y,100.0
ELSS,FT,rolling_5y,100.0
ELSS,FT,sector_hhi,100.0
ELSS,FT,sharpe,100.0
ELSS,FT,sortino,100.0
ELSS,FT,stock_count,100.0
ELSS,FT,ter,100.0
ELSS,FT,top10,100.0
ELSS,FT,top3_sector,100.0
ELSS,FT,turnover,100.0
ELSS,FT,up_beta,100.0
ELSS,FT,volatility,100.0
ELSS,GROWW,aum,100.0
ELSS,GROWW,cagr_1y,100.0
ELSS,GROWW,cagr_3y,100.0
ELSS,GROWW,cagr_5y,100.0
ELSS,GROWW,down_beta,100.0
ELSS,GROWW,iqr_3y,100.0
ELSS,GROWW,iqr_5y,100.0
ELSS,GROWW,ir,100.0
