scheme_name
NJ ELSS Tax Saver Scheme Direct Growth
Shriram ELSS Tax Saver Fund - Direct Growth
CAPITALMIND FLEXI CAP FUND DIRECT GROWTH
Helios Flexi Cap Fund - Direct Plan - Growth Option
JioBlackRock Flexi Cap Fund - Direct Plan - Growth Option
NJ Flexi Cap Fund - Direct Plan - Growth Option
Shriram Flexi Cap Fund - Direct Growth
THE WEALTH COMPANY FLEXI CAP FUND - DIRECT GROWTH
Old Bridge Focused Fund - Direct Growth
Helios Large & Mid Cap Fund - Direct Plan - Growth Option
Helios Mid Cap Fund - Direct Plan - Growth Option
Helios Small Cap Fund - Direct Plan - Growth Option
