scheme_name
Helios Financial Services Fund - Direct Plan - Growth Option
Aditya Birla Sun Life Consumption Fund - Growth - Direct Plan
UTI India Consumer Fund - Direct Plan - Growth Option
Aditya Birla Sun Life ESG Integration Strategy Fund-Direct Plan-Growth
Tata Quant Fund-Direct Plan-Growth
UTI Quant Fund - Direct Plan - Growth Option
